text,label
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Manufactured & Packed by Nestlé India Ltd., MGR Road, New Delhi",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"Manufactured & Packed by Nestlé India Ltd., MGR Road, New Delhi",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
"Manufactured & Packed by Nestlé India Ltd., MGR Road, New Delhi",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP Rs. 15.00 incl. of all taxes,mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
MRP ₹250.00 inclusive of all taxes,mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹250.00 inclusive of all taxes,mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹250.00 inclusive of all taxes,mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹250.00 inclusive of all taxes,mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
MRP ₹250.00 inclusive of all taxes,mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP Rs. 15.00 incl. of all taxes,mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP Rs. 15.00 incl. of all taxes,mrp
MRP Rs. 15.00 incl. of all taxes,mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
M.R.P. : Rs 45.00 (INCL. OF ALL TAXES),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
अधिकतम खुदरा मूल्य: ₹120.00 (सभी कर सहित),mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹ 99.00 (inclusive of all taxes),mrp
"MAX. RETAIL PRICE ₹1,250.00 INCL. ALL TAXES",mrp
M.R.P. Rs. 120.00 (Incl. of all taxes),mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP ₹250.00 inclusive of all taxes,mrp
MRP ₹250.00 inclusive of all taxes,mrp
Net Vol.: 750 ml,net_quantity
Net Quantity: 500 g,net_quantity
Net Quantity: 500 g,net_quantity
Net Wt. 50 ml,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Weight: 250g,net_quantity
Net Qty : 1 L,net_quantity
Net Vol.: 750 ml,net_quantity
Net Vol.: 750 ml,net_quantity
Net Vol.: 750 ml,net_quantity
Net Wt. 50 ml,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Content: 100 N (100 units),net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Quantity: 500 g,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Quantity: 500 g,net_quantity
NET QUANTITY : 5 kg,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Quantity: 500 g,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Content: 100 N (100 units),net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Wt. 50 ml,net_quantity
Net Wt. 50 ml,net_quantity
Net Qty : 1 L,net_quantity
Net Weight: 250g,net_quantity
Net Qty : 1 L,net_quantity
NET QUANTITY : 5 kg,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Wt. 50 ml,net_quantity
Net Vol.: 750 ml,net_quantity
Net Vol.: 750 ml,net_quantity
Net Qty : 1 L,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Content: 100 N (100 units),net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Vol.: 750 ml,net_quantity
Net Wt. 50 ml,net_quantity
Net Qty : 1 L,net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Qty : 1 L,net_quantity
NET QUANTITY : 5 kg,net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
Net Qty : 1 L,net_quantity
Net Quantity: 500 g,net_quantity
Net Wt. 50 ml,net_quantity
Net Weight: 250g,net_quantity
Net Qty : 1 L,net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
Net Wt. 50 ml,net_quantity
Net Qty : 1 L,net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
Net Quantity: 500 g,net_quantity
NET QUANTITY : 5 kg,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Weight: 250g,net_quantity
Net Qty : 1 L,net_quantity
Net Wt. 50 ml,net_quantity
NET QUANTITY : 5 kg,net_quantity
NET QUANTITY : 5 kg,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Vol.: 750 ml,net_quantity
Net Wt. 50 ml,net_quantity
Net Qty : 1 L,net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
Net Quantity: 500 g,net_quantity
Net Weight: 250g,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
NET QUANTITY : 5 kg,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Content: 100 N (100 units),net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Qty : 1 L,net_quantity
Net Content: 100 N (100 units),net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Qty : 1 L,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Content: 100 N (100 units),net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Wt. 50 ml,net_quantity
Net Content: 100 N (100 units),net_quantity
Net Content: 100 N (100 units),net_quantity
शुद्ध मात्रा: 1 लीटर,net_quantity
Net Wt. 50 ml,net_quantity
Net Quantity: 500 g,net_quantity
Net Content: 100 N (100 units),net_quantity
NET QUANTITY : 5 kg,net_quantity
NET QUANTITY : 5 kg,net_quantity
Net Weight: 250g,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
शुद्ध मात्रा: 500 ग्राम,net_quantity
Net Vol.: 750 ml,net_quantity
PKD: 02/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
Packed on: 04/2025,mfg_date
Mfd: 01/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
MFG. 10/2024,mfg_date
Packed on: 04/2025,mfg_date
Packed on: 04/2025,mfg_date
PKD: 02/2025,mfg_date
Mfd: 01/2025,mfg_date
MFG. 10/2024,mfg_date
Date of Mfg: 12/2024,mfg_date
Packed on: 04/2025,mfg_date
PKD: 02/2025,mfg_date
MFG. 10/2024,mfg_date
Packed on: 04/2025,mfg_date
Mfg Date: 03/2025,mfg_date
Mfd: 01/2025,mfg_date
Packed on: 04/2025,mfg_date
PKD: 02/2025,mfg_date
PKD: 02/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
MFG. 10/2024,mfg_date
Mfg Date: 03/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
PKD: 02/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
PKD: 02/2025,mfg_date
MFG. 10/2024,mfg_date
Mfd: 01/2025,mfg_date
MFG. 10/2024,mfg_date
Mfg Date: 03/2025,mfg_date
PKD: 02/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
PKD: 02/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
Mfg Date: 03/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
Mfg Date: 03/2025,mfg_date
Mfd: 01/2025,mfg_date
PKD: 02/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
MFG. 10/2024,mfg_date
Packed on: 04/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
Mfd: 01/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
निर्माण तिथि: 03/2025,mfg_date
Mfd: 01/2025,mfg_date
PKD: 02/2025,mfg_date
Packed on: 04/2025,mfg_date
PKD: 02/2025,mfg_date
PKD: 02/2025,mfg_date
PKD: 02/2025,mfg_date
Packed on: 04/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
Packed on: 04/2025,mfg_date
Mfg Date: 03/2025,mfg_date
MFG. 10/2024,mfg_date
Packed on: 04/2025,mfg_date
Mfd: 01/2025,mfg_date
MFG. 10/2024,mfg_date
निर्माण तिथि: 03/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
MFG. 10/2024,mfg_date
Packed on: 04/2025,mfg_date
Mfd: 01/2025,mfg_date
Mfd: 01/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
MFG. 10/2024,mfg_date
MFG. 10/2024,mfg_date
Mfg Date: 03/2025,mfg_date
MFG. 10/2024,mfg_date
MFG. 10/2024,mfg_date
Mfg Date: 03/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
PKD: 02/2025,mfg_date
PKD: 02/2025,mfg_date
Packed on: 04/2025,mfg_date
Date of Mfg: 12/2024,mfg_date
Mfd: 01/2025,mfg_date
MFG. 10/2024,mfg_date
Date of Mfg: 12/2024,mfg_date
MFG. 10/2024,mfg_date
Packed on: 04/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
PKD: 02/2025,mfg_date
Mfg Date: 03/2025,mfg_date
PKD: 02/2025,mfg_date
Packed on: 04/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
Mfg Date: 03/2025,mfg_date
Packed on: 04/2025,mfg_date
MFG. 10/2024,mfg_date
PKD: 02/2025,mfg_date
निर्माण तिथि: 03/2025,mfg_date
MFG. 10/2024,mfg_date
Mfd: 01/2025,mfg_date
Mfg Date: 03/2025,mfg_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
BEST BEFORE: 09/2025,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Use Before: 01/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
BEST BEFORE: 09/2025,expiry_date
Expiry: 04/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
EXP. DATE: 02/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
BEST BEFORE: 09/2025,expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
Expiry: 04/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
Expiry Date: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
EXP. DATE: 02/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
EXP. DATE: 02/2026,expiry_date
Expiry: 04/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
Use Before: 01/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Expiry: 04/2026,expiry_date
Expiry: 04/2026,expiry_date
Use Before: 01/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
अवसान तिथि: 03/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
EXP. DATE: 02/2026,expiry_date
EXP. DATE: 02/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Expiry Date: 03/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Expiry Date: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
EXP. DATE: 02/2026,expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Use Before: 01/2026,expiry_date
Expiry Date: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
BEST BEFORE: 09/2025,expiry_date
Expiry Date: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Expiry Date: 03/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
BEST BEFORE: 09/2025,expiry_date
EXP. DATE: 02/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Expiry: 04/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
BEST BEFORE: 09/2025,expiry_date
Expiry: 04/2026,expiry_date
Expiry Date: 03/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
BEST BEFORE: 09/2025,expiry_date
EXP. DATE: 02/2026,expiry_date
Expiry: 04/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
EXP. DATE: 02/2026,expiry_date
Expiry: 04/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Expiry Date: 03/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
Best Before 12 Months from Packaging (12/2025),expiry_date
Use Before: 01/2026,expiry_date
BEST BEFORE: 09/2025,expiry_date
BEST BEFORE: 09/2025,expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
अवसान तिथि: 03/2026,expiry_date
Expiry: 04/2026,expiry_date
ग्राहक सेवा केंद्र: 1800-112-2334 / care@patanjali.com,consumer_care
"In case of complaints contact Consumer Care Officer, Tel: 011-23456789",consumer_care
Consumer Care Executive: 1800-112-2334 or email care@amul.co.in,consumer_care
"In case of complaints contact Consumer Care Officer, Tel: 011-23456789",consumer_care
Helpline: 1800-200-9999 / customercare@dabur.com,consumer_care
"In case of complaints contact Consumer Care Officer, Tel: 011-23456789",consumer_care
For Feedback/Complaint Contact: Customer Care Cell 1800-425-1111 / care@nestle.com,consumer_care
Consumer Care Executive: 1800-112-2334 or email care@amul.co.in,consumer_care
ग्राहक सेवा केंद्र: 1800-112-2334 / care@patanjali.com,consumer_care
"In case of complaints contact Consumer Care Officer, Tel: 011-23456789",consumer_care
Consumer Care Executive: 1800-112-2334 or email care@amul.co.in,consumer_care
Customer Support: Toll Free 1800-102-3456 or write to support@britannia.in,consumer_care
Consumer Care Executive: 1800-112-2334 or email care@amul.co.in,consumer_care
Customer Support: Toll Free 1800-102-3456 or write to support@britannia.in,consumer_care
For Feedback/Complaint Contact: Customer Care Cell 1800-425-1111 / care@nestle.com,consumer_care
For Feedback/Complaint Contact: Customer Care Cell 1800-425-1111 / care@nestle.com,consumer_care
Helpline: 1800-200-9999 / customercare@dabur.com,consumer_care
